,date,area,datetime
0,2020-02-21,16540.0,2020-02-21 00:00:00+08:00
1,2020-02-22,15070.0,2020-02-22 00:00:00+08:00
2,2020-02-23,18420.0,2020-02-23 00:00:00+08:00
3,2020-02-24,18480.0,2020-02-24 00:00:00+08:00
4,2020-02-25,14340.0,2020-02-25 00:00:00+08:00
5,2020-02-26,19100.0,2020-02-26 00:00:00+08:00
6,2020-02-27,39620.0,2020-02-27 00:00:00+08:00
7,2020-02-28,25830.0,2020-02-28 00:00:00+08:00
8,2020-03-01,17740.0,2020-03-01 00:00:00+08:00
9,2020-03-02,22290.0,2020-03-02 00:00:00+08:00
10,2020-03-03,32850.0,2020-03-03 00:00:00+08:00
11,2020-03-04,14380.0,2020-03-04 00:00:00+08:00
12,2020-03-05,14860.0,2020-03-05 00:00:00+08:00
13,2020-03-06,15320.0,2020-03-06 00:00:00+08:00
14,2020-03-07,25480.0,2020-03-07 00:00:00+08:00
15,2020-03-08,36340.0,2020-03-08 00:00:00+08:00
16,2020-03-09,155410.0,2020-03-09 00:00:00+08:00
17,2020-03-10,16980.0,2020-03-10 00:00:00+08:00
18,2020-03-11,14450.0,2020-03-11 00:00:00+08:00
19,2020-03-12,12190.0,2020-03-12 00:00:00+08:00
20,2020-03-13,15730.0,2020-03-13 00:00:00+08:00
21,2020-03-14,18670.0,2020-03-14 00:00:00+08:00
22,2020-03-15,17520.0,2020-03-15 00:00:00+08:00
23,2020-03-16,16900.0,2020-03-16 00:00:00+08:00
24,2020-03-17,18560.0,2020-03-17 00:00:00+08:00
25,2020-03-18,17170.0,2020-03-18 00:00:00+08:00
26,2020-03-19,12360.0,2020-03-19 00:00:00+08:00
27,2020-03-20,15710.0,2020-03-20 00:00:00+08:00
28,2020-03-21,16440.0,2020-03-21 00:00:00+08:00
29,2020-03-22,17730.0,2020-03-22 00:00:00+08:00
30,2020-03-23,21070.0,2020-03-23 00:00:00+08:00
31,2020-03-24,26990.0,2020-03-24 00:00:00+08:00
32,2020-03-25,16220.0,2020-03-25 00:00:00+08:00
33,2020-03-26,15920.0,2020-03-26 00:00:00+08:00
34,2020-03-27,22070.0,2020-03-27 00:00:00+08:00
35,2020-03-28,17530.0,2020-03-28 00:00:00+08:00
